annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	155448	0.0095160804238821	40	0.0161095449053564	1.6928760779414	0.00176601301436794
UTR5	46406	0.00284084213467316	8	0.00322190898107128	1.13413869139264	0.702817091046199
downstream	184076	0.0112686044214562	53	0.0213451469995973	1.89421388854104	2.25458306749325e-05
exonic	157410	0.00963618843293758	39	0.0157068062827225	1.62998123086042	0.00379127512452715
intergenic	7340829	0.449384483183869	1054	0.424486508256142	0.944595383553686	0.0130740285445062
intronic	6228556	0.38129432234994	1009	0.406363270237616	1.06574697397321	0.0104043784923994
ncRNA_exonic	164533	0.0100722380499112	39	0.0157068062827225	1.55941571325958	0.0085117232562953
ncRNA_intronic	1884461	0.115361294012591	184	0.0741039065646396	0.642363690516089	1.01688077274262e-11
ncRNA_splicing	826	5.05653493780982e-05	0	0	0	1
splicing	1588	9.72128024363438e-05	1	0.000402738622633911	4.14285580232736	0.214480080921223
upstream	171164	0.0104781688389259	56	0.022553362867499	2.15241453103087	2.93653541173187e-07
